id,mean_dist_day,mean_over_speed,cluster_value
3.42E+09,71.24,28,1
3.42E+09,52.53,25,1
3.42E+09,64.54,27,1
3.42E+09,55.69,22,1
3.42E+09,54.58,25,1
3.42E+09,41.91,10,2
3.42E+09,58.64,20,1
3.42E+09,52.02,8,2
3.42E+09,31.25,34,4
3.42E+09,44.31,19,1
3.42E+09,49.35,40,4
3.42E+09,58.07,45,4
3.42E+09,44.22,22,1
3.42E+09,55.73,19,1
3.42E+09,46.63,43,4
3.42E+09,52.97,32,1
3.42E+09,46.25,35,4
3.42E+09,51.55,27,1
3.42E+09,57.05,26,1
3.42E+09,58.45,30,1
3.42E+09,43.42,23,1
3.42E+09,55.68,37,4
3.42E+09,55.15,18,1
3.42E+09,43.84,22,1
3.42E+09,59.26,32,1
3.42E+09,37.14,41,4
3.42E+09,64.3,29,1
3.42E+09,45.75,16,1
3.42E+09,45.97,23,1
3.42E+09,56.04,39,4
3.42E+09,33.64,45,4
3.42E+09,41.67,33,4
3.42E+09,50.68,39,4
3.42E+09,54.22,35,4
3.42E+09,56.2,29,1
3.42E+09,46.16,41,4
3.42E+09,50.22,24,1
3.42E+09,49.66,33,4
3.42E+09,38.61,37,4
3.42E+09,55.28,36,4
3.42E+09,57.87,41,4
3.42E+09,61.69,12,2
3.42E+09,37.41,21,1
3.42E+09,53.83,32,1
3.42E+09,62.98,22,1
3.42E+09,46.97,13,2
3.42E+09,58.03,24,1
3.42E+09,59.87,36,4
3.42E+09,81.34,31,1
3.42E+09,48.56,26,1
3.42E+09,17.66,23,1
3.42E+09,46.01,21,1
3.42E+09,45.34,26,1
3.42E+09,39.64,31,1
3.42E+09,51.22,36,4
3.42E+09,36.21,31,1
3.42E+09,47.32,55,4
3.42E+09,54.87,27,1
3.42E+09,58.97,6,2
3.42E+09,57.3,42,4
3.42E+09,59.94,32,1
3.42E+09,61.72,25,1
3.42E+09,53.19,23,1
3.42E+09,35.13,38,4
3.42E+09,48.47,20,1
3.42E+09,51.17,43,4
3.42E+09,42.14,39,4
3.42E+09,54.31,35,4
3.42E+09,48.93,32,1
3.42E+09,53.51,44,4
3.42E+09,51.72,24,1
3.42E+09,49.86,10,2
3.42E+09,49.2,41,4
3.42E+09,60.2,39,4
3.42E+09,54.06,20,1
3.42E+09,72.91,30,1
3.42E+09,61.92,40,4
3.42E+09,44.2,24,1
3.42E+09,60.75,39,4
3.42E+09,68.36,37,4
3.42E+09,56.39,20,1
3.42E+09,38.19,15,2
3.42E+09,66.19,27,1
3.42E+09,58.2,17,1
3.42E+09,47.55,22,1
3.42E+09,37.62,16,1
3.42E+09,17.81,26,1
3.42E+09,31.25,29,1
3.42E+09,61,41,4
3.42E+09,40.98,33,4
3.42E+09,53.69,24,1
3.42E+09,51.46,9,2
3.42E+09,64.57,29,1
